node,community
0,0
1,0
128552,0
2,1
3,1
4,2
5,2
155,2
558,2
1509,2
2282,2
2984,2
7263,3
10876,4
48703,5
51253,2
87217,2
98617,6
100981,2
101858,2
8,2
20,5
50,5
52,2
183,2
197,2
245,2
264,2
302,2
311,2
317,2
350,4
361,2
410,2
430,2
450,2
453,2
481,2
532,5
544,4
655,2
671,2
691,2
727,2
731,2
744,4
819,4
851,2
855,4
865,4
904,2
913,2
931,4
966,2
974,2
999,2
1003,4
1005,2
1017,2
1037,2
1090,2
1118,2
1119,2
1229,4
1262,4
1268,2
1269,2
1278,2
1287,4
1289,2
1296,2
1304,2
1305,2
1306,2
1321,2
1327,2
1328,2
1331,2
1334,2
1336,2
1352,2
1438,5
1441,2
1444,2
1450,2
1456,2
1463,2
1466,2
1469,2
1478,2
1480,2
1485,2
1486,2
1487,2
1488,2
1491,2
1492,2
1493,2
1495,2
1502,2
1506,2
1511,2
1512,2
1541,2
1578,2
1605,2
1611,3
1622,2
1638,2
1652,2
1682,2
1687,2
1707,4
1713,2
1741,2
1750,2
1818,4
1819,2
1829,5
1831,2
1834,4
1853,2
1864,4
1865,2
1867,2
1869,2
1882,2
1894,2
1937,2
1953,4
1970,5
2040,2
2116,2
2133,2
2183,2
2193,4
2197,2
2243,4
2261,2
2268,2
2271,2
2278,2
2286,2
2287,2
2293,5
2339,2
2347,2
2355,2
2358,2
2363,5
2475,2
2486,2
2505,2
2547,2
2550,2
2557,2
2579,2
2657,2
2677,2
2719,2
2723,2
2738,2
2755,2
2772,2
2776,2
2842,2
2850,2
2947,2
2971,2
2995,2
3103,5
3133,4
3137,7
3141,4
3142,4
3144,4
3167,4
3168,2
3171,4
3172,8
3177,2
3194,2
3201,2
3205,4
3210,2
3211,2
3216,2
3230,2
3244,9
3249,2
3277,4
3325,4
3338,2
3339,4
3343,2
3358,2
3372,2
3396,5
3438,4
3615,2
3619,2
3723,2
3751,4
3760,10
3762,4
3763,4
3798,2
3802,2
3835,2
3838,2
3845,2
3847,2
3876,2
3879,2
3890,2
3903,2
3904,2
3905,2
3923,4
4080,2
4167,2
4173,2
4192,2
4232,2
4234,2
4308,2
4313,4
4360,2
4436,4
4446,2
4489,2
4494,2
4528,5
4542,2
4550,2
4561,5
4590,2
4599,2
4640,2
4689,4
4726,4
4774,2
4820,2
4874,2
4887,4
4900,4
4948,2
4959,2
4994,5
5003,4
5033,2
5054,4
5071,2
5157,2
5291,2
5373,2
5396,2
5496,4
5507,4
5564,2
5578,2
5603,2
5626,2
5641,4
5727,4
5729,2
5761,2
5768,4
5773,2
5819,9
5882,2
6025,2
6128,4
6176,4
6296,4
6306,5
6328,4
6364,4
6392,4
6462,5
6482,2
6559,2
6655,4
6719,2
6743,2
6800,2
6827,2
6834,2
6836,2
7062,5
7089,2
7233,2
7235,2
7269,4
7279,7
7385,5
7674,2
7821,2
7845,2
7855,2
7998,9
8357,2
8533,2
8544,2
8684,4
8835,4
8930,2
8968,4
9071,4
9116,2
9282,2
9310,5
9343,2
9665,2
9698,2
9825,4
9829,4
9846,2
9870,2
9979,2
10132,2
10158,2
10197,2
10369,2
10390,2
10428,4
10430,2
10509,2
10661,2
10750,9
10782,2
10818,4
10822,4
10873,2
10932,2
11002,2
11056,4
11086,2
11205,2
11305,2
11409,5
11445,2
11598,4
11640,4
11675,4
11751,11
11818,2
12179,4
12200,4
12211,4
12359,4
12467,2
12661,2
12664,4
12797,5
12976,2
13025,12
13106,5
13199,2
13248,2
13303,2
13335,2
13518,2
13539,4
13551,2
13683,2
14124,4
14126,4
14203,4
14366,13
14416,2
15132,4
15203,4
15285,2
15505,2
15654,4
15979,5
16001,2
16308,4
16331,2
16351,2
16531,2
16560,2
16572,2
16697,4
16733,2
16751,4
16786,4
16821,2
16925,2
16926,2
16930,2
16941,2
16955,14
16971,2
16981,2
16985,2
16992,2
16993,2
16995,2
17001,2
17005,2
17006,2
17007,2
17012,2
17013,2
17014,2
17015,2
17019,2
17020,2
17025,2
17026,2
17030,2
17042,2
17048,2
17059,2
17069,2
17072,2
17073,2
17102,4
17337,2
17343,2
17344,2
17349,2
17354,2
17359,2
17360,2
17362,2
17376,2
17381,2
17386,2
17391,2
17393,2
17394,2
17396,2
