lcc_size,num_components,fragmentation,lcc_drop_percent,k
119129,5568,0.09461996215201518,0.0008394191219675984,1
119128,5568,0.0946206812689051,0.001678838243935197,2
119127,5568,0.09462140039672584,0.0025182573659027953,3
119126,5568,0.09462211953547761,0.003357676487870394,4
119113,5579,0.09471404142124262,0.014270125073449172,5
119112,5579,0.09471476127502398,0.015109544195416772,6
119111,5579,0.09471548113974748,0.01594896331738437,7
119110,5579,0.09471620101541356,0.01678838243935197,8
119109,5579,0.09471692090202244,0.017627801561319566,9
119108,5579,0.09471764079957434,0.018467220683287162,10
119106,5580,0.09472596128267297,0.020146058927222363,11
119103,5581,0.09474188252462601,0.02266431629312516,12
119102,5581,0.09474260262831868,0.023503735415092757,13
119101,5581,0.09474332274295794,0.024343154537060353,14
119098,5582,0.0947592444799149,0.02686141190296315,15
119097,5582,0.09475996473199355,0.02770083102493075,16
119096,5582,0.09476068499502144,0.028540250146898344,17
119095,5582,0.09476140526899868,0.029379669268865944,18
119094,5582,0.0947621255539256,0.030219088390833544,19
119093,5582,0.09476284584980232,0.03105850751280114,20
